customer_id,transaction_date,product_used,transaction_amount,customer_tenure,transaction_frequency
1849,2023-08-01,Mortgage Loan,32018.06,2,25
1013,2023-05-20,Mortgage Loan,18307.19,9,4
1739,2024-02-11,Fixed Deposit,45718.01,5,29
1099,2024-08-12,Credit Card,51489.98,11,24
1036,2023-10-22,Credit Card,9241.92,4,42
1478,2024-02-22,Personal Loan,26721.31,7,30
1617,2024-04-23,Savings Account,42467.13,10,46
1283,2024-06-20,Mutual Fund,22068.45,9,38
1963,2024-10-07,Mutual Fund,6729.91,10,25
1023,2023-11-12,Current Account,23094.67,9,27
1152,2024-12-30,Car Loan,22225.69,11,44
1868,2023-06-23,Car Loan,94487.22,2,43
1170,2024-11-16,Mortgage Loan,69098.32,10,34
1105,2023-10-20,Fixed Deposit,60855.58,6,43
1385,2023-08-10,Car Loan,90021.31,6,14
1612,2023-06-10,Mortgage Loan,1977.22,6,7
1546,2025-02-01,Personal Loan,95068.33,4,22
1433,2023-06-14,Credit Card,54637.79,12,16
1273,2024-04-23,Mutual Fund,81370.31,10,48
1288,2023-09-28,Fixed Deposit,95801.79,10,15
1365,2023-10-30,Fixed Deposit,44206.93,9,15
1903,2023-09-17,Mutual Fund,55882.83,14,19
1882,2023-07-19,Fixed Deposit,32009.6,2,5
1761,2024-07-13,Current Account,97517.46,8,5
1993,2023-10-16,Mutual Fund,86436.53,3,31
1449,2023-09-15,Fixed Deposit,82027.8,6,29
1404,2023-03-18,Mortgage Loan,87927.58,8,17
1870,2024-10-18,Savings Account,40814.62,7,15
1659,2024-04-12,Credit Card,43665.94,4,27
1283,2024-08-30,Personal Loan,75151.25,13,41
1806,2024-09-21,Current Account,52103.94,7,34
1662,2024-08-23,Mutual Fund,58954.39,13,22
1835,2024-10-14,Car Loan,14749.23,6,13
1221,2024-07-19,Mutual Fund,98934.54,6,1
1360,2024-07-23,Mortgage Loan,64676.14,5,5
1722,2024-07-19,Fixed Deposit,13457.07,11,45
1461,2024-02-11,Personal Loan,54400.98,14,6
1576,2024-06-03,Car Loan,36997.55,4,40
1177,2024-11-08,Mortgage Loan,23121.89,14,42
1178,2024-08-28,Credit Card,50854.59,8,12
1957,2024-06-28,Mutual Fund,74527.53,2,19
1831,2023-11-19,Mortgage Loan,46607.21,14,9
1613,2024-06-25,Mortgage Loan,95665.17,4,6
1892,2023-03-23,Current Account,50557.08,6,31
1715,2024-08-24,Mutual Fund,50757.3,11,42
1879,2023-07-14,Current Account,7342.04,3,40
1823,2024-11-01,Credit Card,52383.31,7,33
1051,2024-05-14,Credit Card,36555.14,1,39
1147,2023-05-03,Current Account,83251.56,6,27
1894,2023-10-26,Personal Loan,38772.75,1,42
1687,2024-06-02,Mortgage Loan,16666.93,7,33
1562,2024-09-20,Mortgage Loan,85790.77,8,49
1921,2024-10-03,Savings Account,47297.5,10,20
1077,2025-01-10,Current Account,91659.73,7,9
1967,2024-07-06,Car Loan,45290.37,14,43
1785,2023-05-30,Personal Loan,21889.31,6,24
1755,2025-01-16,Credit Card,58706.97,11,42
1724,2023-02-15,Mortgage Loan,76582.11,12,45
1117,2023-07-13,Fixed Deposit,87076.46,9,5
1670,2025-01-30,Savings Account,47098.05,3,2
1641,2024-04-12,Current Account,63432.94,8,36
1829,2024-04-04,Mortgage Loan,7610.32,6,41
1870,2025-01-29,Current Account,75632.17,2,25
1370,2023-11-05,Fixed Deposit,67829.22,1,2
1000,2023-06-08,Current Account,69792.83,13,2
1625,2023-06-10,Current Account,23484.0,5,13
1774,2024-07-15,Credit Card,62519.33,14,6
1068,2024-11-13,Personal Loan,71531.05,13,31
1471,2024-04-04,Credit Card,12702.07,4,40
1088,2023-11-23,Fixed Deposit,47178.83,12,29
1870,2024-03-30,Personal Loan,77931.72,2,7
1920,2023-03-08,Fixed Deposit,52921.93,3,9
1682,2023-09-22,Fixed Deposit,51786.52,1,34
1674,2024-10-23,Mutual Fund,7174.68,1,35
1565,2023-11-12,Personal Loan,40638.04,12,20
1955,2023-02-28,Savings Account,22796.55,8,29
1682,2023-06-16,Mutual Fund,70629.83,3,23
1671,2024-07-10,Fixed Deposit,28654.45,4,28
1259,2024-09-20,Fixed Deposit,86055.32,7,16
1313,2023-08-25,Current Account,29553.42,14,28
1313,2024-08-25,Savings Account,81790.51,9,26
1435,2024-01-10,Fixed Deposit,2694.86,12,40
1806,2024-07-04,Mortgage Loan,48080.07,5,37
1372,2023-12-07,Credit Card,83625.32,4,46
1749,2023-03-21,Savings Account,19417.35,9,46
1708,2024-11-16,Car Loan,66497.17,3,38
1303,2023-09-12,Mortgage Loan,55740.01,1,35
1546,2024-09-07,Personal Loan,12894.23,13,36
1494,2023-10-02,Current Account,19807.52,4,9
1107,2024-01-01,Fixed Deposit,41518.19,10,16
1532,2024-03-26,Personal Loan,44649.8,1,41
1166,2024-03-11,Mutual Fund,37083.89,10,49
1220,2023-09-23,Fixed Deposit,19072.02,2,6
